customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn
CUST00001,Male,0,Yes,No,54,No,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Mailed check,96.48,No
CUST00002,Female,0,No,No,35,Yes,No,No,Yes,No,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),87.58,No
CUST00003,Male,0,Yes,No,36,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),79.78,No
CUST00004,Male,0,No,Yes,13,No,No phone service,Fiber optic,No,Yes,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),112.28,Yes
CUST00005,Male,1,No,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.77,Yes
CUST00006,Female,0,Yes,Yes,30,No,No phone service,DSL,No,No internet service,No,Yes,Yes,No internet service,Two year,No,Bank transfer (automatic),38.02,No
CUST00007,Male,0,No,Yes,72,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Credit card (automatic),85.03,No
CUST00008,Male,0,No,No,43,No,No,DSL,No,No internet service,No internet service,No,No,No internet service,One year,Yes,Bank transfer (automatic),47.3,No
CUST00009,Male,1,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),120,Yes
CUST00010,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,49.2,No
CUST00011,Male,0,Yes,No,56,Yes,No phone service,No,No internet service,No,Yes,No,No,No,Two year,No,Bank transfer (automatic),48.44,No
CUST00012,Male,1,Yes,Yes,21,Yes,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,57.91,No
CUST00013,Male,1,No,No,3,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),61.08,Yes
CUST00014,Male,0,Yes,Yes,71,Yes,No phone service,DSL,No internet service,No,No internet service,No,No,Yes,One year,Yes,Mailed check,58.94,No
CUST00015,Female,0,Yes,No,45,No,Yes,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,62.11,Yes
CUST00016,Male,0,Yes,No,58,No,No,DSL,No,No,No internet service,No internet service,No internet service,Yes,Two year,No,Mailed check,59.13,No
CUST00017,Female,0,Yes,No,33,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,23.33,No
CUST00018,Female,0,Yes,Yes,10,No,No,DSL,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),85.14,No
CUST00019,Female,1,No,Yes,30,Yes,Yes,No,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,56.93,Yes
CUST00020,Male,1,Yes,No,10,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,65.41,No
